entity id,alias,synonyms,scientific name,category,molecules
6,,set(),,,"{31265, 6054, 264, 332, 7762, 93111, 5366074, 31260, 10430}"
7,,set(),,,"{31265, 6054, 264, 332, 7762, 93111, 31260, 10430}"
8,,set(),,,"{31265, 6054, 264, 332, 7762, 31260, 10430}"
9,,set(),,,"{31265, 6054, 264, 332, 7762, 93111, 31260, 10430}"
10,,set(),,,"{31265, 6054, 264, 332, 7762, 93111, 31260, 10430}"
20,,set(),,,"{61346, 6054, 62835, 6549, 5283349, 93111, 5366074, 6429343}"
21,,set(),,,"{61346, 62835, 5283349, 5366074, 6429343}"
107,,set(),,,"{177, 650}"
108,,set(),,,"{177, 650, 5352429}"
130,,set(),,,"{11552, 6054, 998, 28905, 650, 26334, 33166, 5354833, 8467, 62835, 93111, 5362588, 7710}"
131,,set(),,,"{11552, 61346, 6054, 998, 28905, 650, 26334, 33166, 5354833, 8467, 62835, 93111, 5362588, 7710}"
138,,set(),,,"{8103, 6184, 263, 31272, 18635, 8908, 5283335, 5354833, 7762, 6549, 5366074, 5374527}"
139,,set(),,,"{8103, 6184, 263, 31272, 18635, 8908, 5283335, 10820954, 5354833, 6549, 853433, 5366074}"
164,,set(),,,"{264, 33931, 31260, 11552, 31265, 6054, 1068, 7342, 177, 93111, 5366074, 10430, 702, 18635, 332, 7762, 7765, 117477, 62835, 7799}"
165,,set(),,,"{11552, 6561, 31265, 6054, 998, 7945, 1068, 332, 7342, 31276, 177, 7762, 93111, 7799, 5366074, 31260}"
166,,set(),,,"{11552, 6561, 31265, 6054, 7945, 18635, 332, 1068, 7342, 31276, 177, 7762, 62835, 93111, 7799, 5366074, 31260}"
167,,set(),,,"{11552, 6561, 31265, 7945, 18635, 332, 7342, 10448, 177, 93111, 8467, 62835, 7799, 5366074}"
179,,set(),,,"{10976, 11552, 998, 999, 264, 6054, 7654, 28905, 460, 26334, 7342, 19310, 176, 32594, 62835, 6549, 10430, 6590}"
180,,set(),,,"{264, 6549, 11552, 47649, 6054, 7342, 176, 93111, 26808, 25916, 10430, 6590, 460, 32594, 522834, 26334, 10976, 998, 999, 7654, 28905, 19310, 62835}"
181,,set(),,,"{11552, 998, 999, 264, 6054, 7654, 28905, 460, 26334, 7342, 19310, 176, 62835, 6549, 10430, 6590}"
182,,set(),,,"{264, 6549, 11552, 47649, 6054, 7342, 176, 93111, 26808, 10430, 6590, 460, 522834, 26334, 998, 999, 7654, 28905, 19310, 62835}"
183,,set(),,,"{264, 6549, 11552, 47649, 6054, 176, 93111, 25916, 10430, 6590, 460, 6736, 32594, 522834, 26334, 998, 999, 7144, 7654, 28905, 19310, 62835}"
192,,set(),,,"{11552, 92083, 6549, 5374527}"
193,,set(),,,"{11552, 6561, 6365572, 998, 6184, 92083, 6549, 5283349, 5374527}"
194,,set(),,,"{11552, 6561, 6365572, 998, 6184, 92083, 6549, 5283349, 5374527}"
195,,set(),,,"{11552, 6561, 6365572, 998, 6184, 92083, 6549, 5283349, 5374527}"
196,,set(),,,"{11552, 6561, 6365572, 998, 6184, 92083, 6549, 5283349, 5374527}"
197,,set(),,,"{11552, 6561, 6365572, 998, 6184, 92083, 6549, 5283349, 5374527}"
200,,set(),,,"{11552, 998, 7945, 18635, 31276, 7342, 19310, 26334}"
201,,set(),,,"{11552, 998, 7945, 18635, 26334}"
210,,set(),,,"{454, 7342, 7762, 93111, 5366074, 11039}"
211,,set(),,,"{7945, 33166, 8467, 7710, 11552, 6561, 47649, 6054, 7342, 176, 93111, 26808, 25916, 10430, 460, 32594, 79828, 26334, 10976, 7654, 999, 28905, 19310, 62835}"
212,,set(),,,"{7945, 33166, 8467, 7710, 11552, 6561, 7714, 47649, 6054, 7342, 176, 93111, 26808, 25916, 10430, 460, 32594, 79828, 26334, 10976, 7654, 999, 28905, 19310, 62835}"
213,,set(),,,"{31244, 460, 33166, 8467, 6549, 853433, 637563}"
215,,set(),,,"{2758, 22311, 31244, 5352429, 8467, 4276, 31253, 62835, 637563, 14525}"
216,,set(),,,"{31253, 637563, 31244, 14525}"
217,,set(),,,"{2758, 22311, 31244, 31253, 637563, 14525}"
218,,set(),,,"{637563, 31244, 2758}"
219,,set(),,,"{2758, 22311, 31244, 637563, 14525}"
220,,set(),,,"{637563, 31244, 14525, 22311}"
221,,set(),,,"{2758, 22311, 31244, 637563, 14525}"
238,,set(),,,"{61346, 263, 6184, 18635, 5366074, 6429343}"
239,,set(),,,"{61346, 8103, 6184, 263, 18635, 1068, 5366074, 6429343}"
240,,set(),,,"{61346, 8103, 6184, 263, 18635, 1068, 5366074, 6429343}"
241,,set(),,,"{61346, 8103, 6184, 263, 18635, 1068, 5366074, 6429343}"
242,,set(),,,"{61346, 8103, 6184, 263, 18635, 1068, 5366074, 6429343}"
243,,set(),,,"{61346, 263, 6184, 8103, 650, 18635, 1068, 177, 6549, 5366074, 6429343}"
244,,set(),,,"{61346, 8103, 6184, 263, 18635, 7762, 5366074, 6429343}"
245,,set(),,,"{61346, 8103, 6184, 263, 18635, 7762, 5366074, 6429343}"
267,,set(),,,"{11552, 7714, 61346, 18635, 5352429, 19310, 22383, 6427087, 62835, 79828, 5283349, 5319765, 93111, 7710}"
268,,set(),,,"{19310, 22383, 79828, 5319765, 12377}"
280,,set(),,,"{7342, 7762, 12180, 93111, 61592}"
