pubchem id,common name,flavor profile
176,acetic acid,"{'sour', 'vinegar-like', 'vingar-like'}"
525,malic acid,{'sour'}
612,lactate,"{'sour', 'sour and salty'}"
2519,caffeine,{'bitter'}
5429,theobromine,{'bitter'}
6134,lactose,{'sweet'}
6343,ethanethiol,"{'rotten', 'onion-like'}"
7353,butyl 2-methylpropanoate,set()
7523,2-ethylpyridine,set()
7590,ethyl 2-phenylacetate,set()
7704,gamma-octalactone,{'coconut-like'}
7765,"1,1-diethoxyethane",set()
7794,citronellal,set()
8159,heptyl acetate,set()
8186,undecanal,set()
8193,1-dodecanol,set()
9064,(+)-catechin,"{'astringent', 'bitter'}"
9862,6-methyl-5-hepten-2-one,"{'fruity', 'esterlike', 'earthy'}"
10353,"(1R,4R)/(1S,4S)-p-menthan-8-ol","{'peppermint-like', 'fir needle-like'}"
10885,2-methylpropyl butanoate,set()
10886,pentyl hexanoate,set()
11005,myristic acid,{'fatty'}
11543,2-methyl-2-pentanol,"{'fruity', 'sweet'}"
12206,methyl pentanoate,set()
12613,3-methylbutyl 3-methylbutanoate,set()
14286,2-acetylpyridine,set()
16315,diallyl trisulfide,set()
16590,diallyl disulfide,set()
19309,"4-hydroxy-2,5-dimethyl-3(2H)-furanone (furaneol®)","{'caramel-like', 'roasty'}"
21648,4-(4-hydroxyphenyl)-2-butanone),set()
22873,hexyl hexanoate,set()
24699,1-stearoyl-rac-glycerol,{'bitter'}
25916,"2-ethyl-3,6-dimethylpyrazine","{'roasty', 'earthy'}"
26331,2-ethylpyrazine,set()
26334,"2-ethyl-3,5-dimethylpyrazine","{'earty', 'roasty', 'earthy'}"
31553,Silibinin,set()
32065,"5-methyl-6,7-dihydro-5H-cyclopentapyrazine",set()
36225,"2,5-diethyl-3-methylpyrazine",set()
61130,myrtenal,set()
61700,2-isopropyl-5-methylpyrazine,set()
61926,allyl methyl trisulfide,set()
62433,pentyl pentanoate,set()
62465,4-ethyl-2-methoxyphenol,"{'gammon-like', 'smoky'}"
72277,epigallocatechin,{'astringent'}
77743,3-(methylthio)propylamine,"{'cooked potato-like', 'fishy', 'ammonia-like'}"
78236,4-nonanone,set()
79828,dimethyltetrasulfide,set()
81772,dimethyl pentasulfide,set()
85730,"2,5-dimethyl-3(2H)-furanone",set()
95200,methyl methanethiosulfinate,set()
98781,allyl propyl sulfide,set()
102892,cyclo(L-Pro-L-Leu),{'bitter'}
104285,dipropyl tetrasulfide,set()
122383,2-methyl-5-propylpyrazine,set()
122594,"3,5-dimethyl-2-propylpyrazine",{'earthy'}
122738,procyanidin B2,"{'astringent', 'bitter'}"
124017,procyanidin B5,"{'astringent', 'bitter'}"
133337,"2-vinyl-4H-1,3-dithiin",set()
146798,procyanidin B3,"{'astringent', 'bitter'}"
179651,limonin,{'bitter'}
222656,L-malate,{'sour'}
439378,5 N -ethyl-L-glutamine  (theanine),"{'umami', 'astringent', 'sweet'}"
439533,(+)-taxifolin; taxifoline; taxifolin,set()
442428,Naringin,set()
493570,Riboflavin,set()
519845,methyl 3-hydroxyhexanoate,set()
520326,3-methylbutyl 2-methylbutanoate,set()
520682,3-mercapto-3-methyl-1-butanol,"{'meat-like', 'kerosene', 'onion-like', 'cat urine', 'sweaty'}"
525330,allyl propyl trisulfide,set()
529481,"3-methyl-2,4-nonanedione","{'aniseed-like', 'straw-like', 'lard-like', 'fruity', 'hay-like', 'fishy'}"
637564,"2,4-hexadienal",set()
637566,geraniol,"{'floral', 'citrus-like', 'flowery', 'fruity', 'rose-like'}"
643779,neral,set()
643820,nerol,{'lemon balm-like'}
5280443,Apigenin,set()
5283339,"(E,E)-2,4-nonadienal","{'green', 'fatty'}"
5320722,1-propenyl propyl sulfide,set()
5352690,methyl (E)-1-propenyl trisulfide,set()
5352691,methyl (Z)-1-propenyl trisulfide,set()
5352693,(E)-1-propenyl propyl trisulfide,set()
5352694,(Z)-1-propenyl propyl trisulfide,set()
5352793,di-(E)-1-propenyl trisulfide,set()
5352855,1-propenyl 2-propenyl disulfide,set()
5354833,(Z)-2-nonenal,"{'green', 'fatty', 'oil paint-like'}"
5362814,(Z)-4-heptenal,"{'fish oil-like', 'fishy', 'biscuit-like'}"
5374527,(E)-beta-damascone,set()
5460341,calcium,"{'bitter', 'salty'}"
5748431,nomilinic acid 17-O-beta-D-glcp,{'astringent'}
6164465,methyl (Z)-1-propenyl disulfide,set()
6178836,theaflavic acid,{'astringent'}
6419835,Catechin gallate,{'astringent'}
6427076,wine lactone,{'coconut-like'}
6427135,1-p-menthene-8-thiol,{'grapefruit-like'}
6428987,cyclo(L-Pro-L-Ala),{'bitter'}
6430888,3-mercapto-2-methyl-1-pentanol,"{'meat-like', 'onion-like'}"
6431294,"(3R,5S)/(3S,5R)-3,5-diethyl-1,2,4-trithiolane (cis-3,5-diethyl-1,2,4-trithiolane)",set()
6432398,"(3R,5R)/(3S,5S)-3,5-diethyl-1,2,4-trithiolane (trans-3,5-diethyl-1,2,4-trithiolane)",set()
12365893,(Z)-2-pentenal,set()
24721373,rubusoside,"{'bitter', 'sweet'}"
54670067,ascorbic acid,{'sour'}
88369124,"(Z,Z)-2,6-nonadienal",set()
101746085,Phloretin-2'-xyloglucosid,"{'astringent', 'bitter'}"
135403798,theaflavin,{'astringent'}
135452274,Theaflavic acid,{'astringent'}
